"method","rows","features","n_clusters","time","color"
"Cluster_Medoids","100","10","10","0.077549934387207",1
"Clara_Medoids","100","10","10","0.242592096328735",2
"KMeans_rcpp","100","10","10","0.00250697135925293",3
"GMM","100","10","10","0.00435304641723633",4
"MiniBatchKmeans","100","10","10","0.00175094604492188",5
"KMeans_arma","100","10","10","0.00295305252075195",6
"Cluster_Medoids","1000","10","10","2.10309195518494",1
"Clara_Medoids","1000","10","10","0.316118955612183",2
"KMeans_rcpp","1000","10","10","0.0421290397644043",3
"GMM","1000","10","10","0.029839038848877",4
"MiniBatchKmeans","1000","10","10","0.0104701519012451",5
"KMeans_arma","1000","10","10","0.00572609901428223",6
"Cluster_Medoids","2000","10","10","6.39595699310303",1
"Clara_Medoids","2000","10","10","0.237227916717529",2
"KMeans_rcpp","2000","10","10","0.0989730358123779",3
"GMM","2000","10","10","0.038506031036377",4
"MiniBatchKmeans","2000","10","10","0.00862812995910645",5
"KMeans_arma","2000","10","10","0.00369405746459961",6
"Cluster_Medoids","4000","10","10","27.1666929721832",1
"Clara_Medoids","4000","10","10","0.411834001541138",2
"KMeans_rcpp","4000","10","10","0.142596960067749",3
"GMM","4000","10","10","0.082226037979126",4
"MiniBatchKmeans","4000","10","10","0.0287988185882568",5
"KMeans_arma","4000","10","10","0.00779891014099121",6
"Clara_Medoids","6000","10","10","0.624336957931519",2
"KMeans_rcpp","6000","10","10","0.397157907485962",3
"GMM","6000","10","10","0.118753910064697",4
"MiniBatchKmeans","6000","10","10","0.0369939804077148",5
"KMeans_arma","6000","10","10","0.0102930068969727",6
"Clara_Medoids","8000","10","10","0.942163944244385",2
"KMeans_rcpp","8000","10","10","0.555554866790771",3
"GMM","8000","10","10","0.156240940093994",4
"MiniBatchKmeans","8000","10","10","0.0402021408081055",5
"KMeans_arma","8000","10","10","0.0141291618347168",6
"KMeans_rcpp","1e+05","10","10","5.98621797561646",3
"GMM","1e+05","10","10","2.05054688453674",4
"MiniBatchKmeans","1e+05","10","10","0.474936962127686",5
"KMeans_arma","1e+05","10","10","0.148962020874023",6
"Clara_Medoids","20000","10","10","3.19836711883545",2
"KMeans_rcpp","20000","10","10","1.19323992729187",3
"GMM","20000","10","10","0.381293773651123",4
"MiniBatchKmeans","20000","10","10","0.105833053588867",5
"KMeans_arma","20000","10","10","0.0311760902404785",6
"Clara_Medoids","50000","10","10","20.0049071311951",2
"KMeans_rcpp","50000","10","10","3.1754138469696",3
"GMM","50000","10","10","0.9806969165802",4
"MiniBatchKmeans","50000","10","10","0.352847099304199",5
"KMeans_arma","50000","10","10","0.0931618213653564",6
"KMeans_rcpp","75000","10","10","4.56368398666382",3
"GMM","75000","10","10","1.5804488658905",4
"MiniBatchKmeans","75000","10","10","0.475835084915161",5
"KMeans_arma","75000","10","10","0.117390871047974",6
"KMeans_rcpp","1e+05","10","10","5.94818997383118",3
"GMM","1e+05","10","10","1.93971490859985",4
"MiniBatchKmeans","1e+05","10","10","0.544713020324707",5
"KMeans_arma","1e+05","10","10","0.195058107376099",6
"KMeans_rcpp","2e+05","10","10","12.1365661621094",3
"GMM","2e+05","10","10","4.04369902610779",4
"MiniBatchKmeans","2e+05","10","10","1.15473604202271",5
"KMeans_arma","2e+05","10","10","0.317130088806152",6
"KMeans_rcpp","3e+05","10","10","19.7074408531189",3
"GMM","3e+05","10","10","5.96776604652405",4
"MiniBatchKmeans","3e+05","10","10","1.97293400764465",5
"KMeans_arma","3e+05","10","10","0.481722831726074",6
"KMeans_rcpp","4e+05","10","10","24.4197990894318",3
"GMM","4e+05","10","10","7.90416884422302",4
"MiniBatchKmeans","4e+05","10","10","2.47175288200378",5
"KMeans_arma","4e+05","10","10","0.598766803741455",6
"KMeans_rcpp","5e+05","10","10","28.8414349555969",3
"GMM","5e+05","10","10","9.733402967453",4
"MiniBatchKmeans","5e+05","10","10","3.1707592010498",5
"KMeans_arma","5e+05","10","10","0.80757212638855",6
"GMM","8e+05","10","10","16.007462978363",4
"MiniBatchKmeans","8e+05","10","10","5.89073395729065",5
"KMeans_arma","8e+05","10","10","1.23706412315369",6
"GMM","1e+06","10","10","20.1744298934937",4
"MiniBatchKmeans","1e+06","10","10","6.31060886383057",5
"KMeans_arma","1e+06","10","10","1.60545301437378",6
"MiniBatchKmeans","2e+06","10","10","11.6076788902283",5
"KMeans_arma","2e+06","10","10","3.21029186248779",6
